LOCATION,CODE
Fyzabad Composite School STP,FCSP
Fyzabad Well 10,FY10
Fyzabad Well 12,FY12
Fyzabad Well 13,FY13
Fyzabad Well 6,FY06
Fyzabad Well 7,FY07
Fyzabad Well 8,FY08
Fyzabad Well 9,FY09
Fyzabad WTP,FYZP
Gasparillo Reservoir,GASR
Golden Grove Village STP,GGVP
Golden Grove Well,GG01
Gonzales Booster,GOWB
Goodwood Crescent Booster,GCBS
Gordon Street Booster,GSTB
Government Farm Booster,GFMB
Government Farm Reservoir,GVFR
Government Farm Well 6,GF06
Grafton Beach Resort STP,GBRP
Gran Chemin Booster,GCMB
Gran Couva Booster,GRCB
Grand Bazaar STP,GRAN
Grande Riviere Intake,GRIN
Grande Riviere Well 1,GR1W
Grandwood Well 1,GW01
Granville Reservoir,GRAR
Granville Well 10,GR10
Granville Well 11,GR11
Granville Well 13,GR13
Granville Well 14,GR14
Granville Well 16,GR16
Granville Well 17,GR17
Granville Well 5,GR05
Granville Well 6,GR06
Granville Well 9,GR09
Granville WTP,GRAP
Green Acres STP,GAST
Green Hill Intake,GRHI
Green Hill Reservoir,GRHR
Guaico Booster,GUAB
Guaico Reservoir,GUAR
Guaico Tamana High Lift,GTHL
Guanapo Reservoir,GUWR
Guanapo Well # 1,GUA1
Guanapo WTP,GUAP
Guaracara Intake,GUAI
Guaracara Reservoir,GRCR
Guayaguayare Petrotrin WTP,GPTP
Guayaguayare Reservoir,GYGR
Guayaguayare Well 1,GY01
Guayaguayare Well 3,GY03
Guayaguayare Well 4,GY04
Guayaguayare WTP,GUAT
Gulf City STP ,GCSP
Gulf View No1 Lift Station ,GV1L
Gulf View No2 Lift Station,GV2L
Harmony Hall Lift Station ,HHLS
Harmony Hall WWTP ,HHTP
Harts Cut Booster,HCBS
Hermitage Booster,HERB
Hermitage Heights STP ,HHST
Hermitage Well 1,HE01
Hermitage Well 2,HE02
Herreira Hill Reservoir,HERR
Highland WTP,HIGP
Hillsborough Dam WTP,HIDP
Hillsborough West Intake,HIWI
Hillsborough West WTP,HIWP
Hilton Tobago Plantation STP,HTPP
Hollis WTP,HOLP
Homeland Gardens STP,HGTP
Hospital Reservoir,HOSR
Hutton Road Booster,HRDB
Irving Street Booster,ISTB
Isthmus Booster Station,ITHB
Ivis Gardens STP,IVGP
James Street Booster,JSTB
Johnson & Johnson Lift Station,JJLS
Kelly Village Reservoir,KLVR
KFC STP ,KFCW
Khandahar Booster,KHAB
King George V Park Well 2,KGP2
King George V Park Well 3,KGP3
King George V Park Well 4,KGP4
King Peter's Bay Booster,KPBB
King's Bay Well 1,KB01
King's Bay WTP,KBYP
Knagg's Hill Booster,KNGB
Knagg's Hill Reservoir,KNHR
KTO Reservoir,KTOR
La Canoa Booster,LCWB
La Canoa Intake,CANI
La Canoa Well 1,CA01
La Couroupria Gardens STP ,LCGP
La Estancia Booster Station,LAEB
La Estancia Reservoir,LAER
La Fillette Well 1,FI01
La Fillette Well 2,FI02
La Florisante Lift Station,LFLS
La Florisante STP,LFST
La Fortune WTP,LFWT
La Hoe Booster,HOEB
La Horquette Booster Station,LAHB
La Horquetta Lift Station,MALA-LHLS
La Lune Reservoir,LALR
La Paille Lift Station,LAPS
La Pastora Reservoir,LAPR
La Pastora Reservoir Road Intake,LPRI
La Pastora Well 2,PA02
La Pastora Well 3,PA03
La Pastora Well 4,PA04
La Platta Gardens STP,LPGP
La Platte Booster,PLAB
La Puerta Booster,PUEB
La Resource STP,LRST
Lady Chancellor Reservoir,LCHR
Lady Young Booster,LYBS
Lange Park Lift Station,LPLS
Lange Park WWTP ,LPTP
L'Anse Fourmi Booster,LAFB
L'Anse Fourmi Reservoir,LAFR
L'Anse Mitan Booster,LMBS
Las Cuevas Beach Facility STP,LCBP
Las Cuevas Intake and Treatment,LCIT
Las Cuevas Reservoir,LCUR
Las Lomas Well 10,LL10
Las Lomas Well 11,LL11
Las Lomas Well 4,LL04
Las Lomas Well 5,LL05
Las Lomas Well 7,LL07
Las Lomas Well 8,LL08
Las Lomas Well 9,LL09
Las Lomas WTP,LLOP
Laventille Hill Booster,LHLB
Laventille Reservoir,LAVR
Lawrence Park Reservoir,LAWR
Lillian Heights STP,LILP
Limpet Booster,LTBS
